original question,fluent(something you could say in the languege),correct gramatically(correct way to answer the question),correct translation,references,predictions,FL-FC-LF,Synonym Substitution,predictions,FL-FC-LF,Typo,predictions,FL-FC-LF,Rewording,predictions,FL-FC-LF,Code-Switching,predictions,FL-FC-LF
Koľko farieb je v dúhe?,1,1,1,"Dúha má sedem farieb: červená, oranžová, žltá, zelená, modrá, indigová a fialová.",Sedem.,1-1-1,Koľko odtieňov obsahuje dúha?,Sedem.,1-1-1,Koĺko farieb je v dúhhe?,Sedem.,1-1-1,"Aký je počet farieb, ktoré tvorí dúha?",Sedem.,1-1-1,Koľko colors je v dúhe?,Sedem.,1-1-1
"Aká je sila, ktorá priťahuje predmety k Zemi?",1,1,1,Táto sila sa nazýva gravitácia.,"Gravitácia je sila, ktorá priťahuje predmety k Zemi. Gravitácia je konštanta, ktorá sa vyskytuje medzi dvoma predmetmi a pôsobí na ich polohu a smer. Gravitácia je konštanta, ktorá sa vyskytuje medzi dvoma predmetmi a pôsobí na ich polohu a smer. Gravitácia je konštanta, ktorá sa vyskytuje medzi dvoma predmetmi a pôsobí na ich polohu a smer. Gravitácia je konštanta",1-1-1,"Aká je sila, ktorá ťahá objekty smerom k Zemi?","Gravitácia je sila, ktorá ťahá objekty smerom k Zemi. Gravitácia je konštanta, ktorá sa vyskytuje v všetkých sférach a pôsobí na objekty všetkých veľkostí. Gravitácia je konštanta, ktorá sa vyskytuje v všetkých sférach a pôsobí na objekty všetkých veľkostí. Gravitácia je konštanta, ktorá sa vyskytuje v všetkých sférach a pôsobí na objekty všetkých",1-1-1,"Aká je sila, ktorá prittahuje predmety k Zemi?","Gravitácia je sila, ktorá ťahá predmety k Zemi. Gravitácia je konštanta, ktorá sa vyskytuje medzi hmotou a povrchom predmetu a pôsobí na predmety v rovnakom smere. Gravitácia je konštanta, ktorá sa vyskytuje medzi hmotou a povrchom predmetu a pôsobí na predmety v rovnakom smere. Gravitácia je konštanta, ktorá sa vyskytuje medzi hmotou a povrchom predmet",1-1-1,"Ktorá sila spôsobuje, že predmety padajú smerom k Zemi?","Gravitácia je sila, ktorá pôsobí na predmety, aby padali smerom k Zemi. Gravitácia je konštanta, ktorá sa vyskytuje v všetkých rovinách a pôsobí na všetky objekty, ktoré sa nachádzajú v rovine. Gravitácia je konštanta, ktorá sa vyskytuje v všetkých rovinách a pôsobí na všetky objekty, ktoré sa nachádzajú v rovine. Gravitácia je konštanta, ktorá sa",1-1-1,"Aká je force, ktorá priťahuje predmety k Zemi?","Gravitácia je sila, ktorá priťahuje predmety k Zemi. Gravitácia je konštanta, ktorá sa vyskytuje v všetkých planétach a je zodpovedná za pohyb všetkých predmetov na oblohe. Gravitácia je konštanta, ktorá sa vyskytuje v všetkých planétach a je zodpovedná za pohyb všetkých predmetov na oblohe. Gravitácia je konštanta, ktorá sa vyskytuje v všetkých planétach a je zodpoved",1-1-1
Aká je najtvrdšia prírodná látka na Zemi?,1,1,1,Najtvrdšou prírodnou látkou je diamant.,Diamant je najtvrdšia prírodná látka na Zemi.,1-1-1,Ktorá látka je najtvrdšia zo všetkých prírodných materiálov na Zemi?,Diamant je najtvrdšia látka na Zemi.,1-1-1,Aká je najtvrdšia prírodná látkaa na Zemi?,Diamant je najtvrdšia prírodná látka na Zemi.,1-1-1,Ktorá látka má najväčšiu tvrdosť spomedzi prírodných materiálov?,Diamant je najtvrdší prírodný materiál.,1-1-1,Aká je najtvrdšia natural látka na Zemi?,Diamant je najtvrdšia hmota na Zemi.,1-1-1
Prečo ľad pláva na vode?,1,1,1,"Pretože ľad má nižšiu hustotu ako voda, vďaka čomu pláva na jej povrchu.","Pretože ľad má menšiu hustotu, pláva na vode",1-1-1,Z akého dôvodu ľad zostáva na hladine vody?,"Ľad má menšiu hustotu, takže sa pohybuje na hladine",1-1-1,Prečo ľad pláva na vodee?,"Pretože ľad má menšiu hustotu, pláva na vode",1-1-1,Z akého dôvodu ľad neklesá pod hladinu vody?,"Ľad má tendenciu klesať do vody kvôli jeho menšej hustote. Keď je ľad menej hustý, klesá pod hladinu vody, ale keď je hustší, klesá nad hladinu vody.",1-1-1,Prečo ice floats na vode?,"Pretože ľad má menšiu hustotu, floatuje na vode",1-1-0
Prečo sa lopta kotúľajúca sa po zemi nakoniec prestane hýbať?,0,0,0,"Kvôli treniu medzi loptou a zemou, ktoré ju postupne spomaľuje.",Pôsobením gravitácie sa lopta nakoniec zastaví a prestane sa hýbať.,1-1-1,"Prečo sa lopta, ktorá sa gúľa po povrchu, po čase zastaví?","Povrch, na ktorom sa lopta pohybuje, má ťah, ktorý ju drží na mieste. Ak sa lopta pohybuje rýchlosťou, ktorá je rovnaká ako rýchlosť vetra, potom sa zastaví. Ak je lopta pohybujúca sa rýchlosťou, ktorá je nižšia ako rýchlosť vetra, potom sa zastaví.",1-1-1,Prečo sa loppta kotúľajúca sa po zemi nakoniec preastane hýbať?,"Lopta sa nakoniec prestane hýbať, pretože sa jej hmotnosť znižuje.",1-0-1,"Prečo sa lopta, ktorá sa kotúľa, po chvíli zastaví?",Pôsobením gravitácie sa lopta zastaví.,1-1-1,Prečo sa ball kotúľajúca sa po zemi nakoniec prestane move?,"Bola by to fyzikálna veta, ktorá by vysvetlila, prečo sa lopta nakoniec prestane pohybovať. Je to preto, že hmota, ktorá sa na lopte pohybuje, je rovnaká ako hmota, ktorá sa na zemi pohybuje. Ak by bola lopta pohyblivá, bola by stále pohyblivá, ale ak by bola na zemi, bola by stále na zemi. Preto by bola lopta nakoniec na zemi, pretože by bola stále na zemi.",0-0-1
Aký je výraz pre ohyb svetla pri prechode vodou alebo pohárom?,1,1,1,Tento jav sa nazýva lom svetla alebo refrakcia.,Albedo.,1-0-1,Aký pojem označuje zmenu smeru svetla pri vstupe do vody alebo skla?,Albedo,1-0-1,Aký je výraz pre ohyb svetlla pri prechode vodou alebo pohárom?,Úklon svetla pri prechode vodou alebo pohárom sa nazýva úklon.,1-0-1,"Ako nazývame jav, keď svetlo mení smer po vstupe do vody alebo skla?",Albedo,1-0-1,Aký je výraz pre bending svetla pri prechode water alebo pohárom?,"Stupeň záblesku je výraz používaný na opis toho, ako sa svetlo mení pri prechode cez kvapalinu alebo pohár. Stupeň záblesku je spôsobený rôznymi faktormi, ako je teplota kvapaliny, rýchlosť prúdenia kvapaliny a množstvo vzduchu v kvapaline. Keď svetlo prechádza cez kvapalinu, môže sa zmeniť smer a rýchlosť, čo spôsobí, že sa pohybuje smerom k cieľu. Toto sa",0-0-1
Prečo héliový balón stúpa vo vzduchu?,1,1,1,"Pretože hélium je ľahšie ako vzduch, takže balón má menšiu hustotu a stúpa nahor.","Héliový balón stúpa vo vzduchu, pretože je naplnený ľahším plynom ako vzduch.",1-1-1,Prečo sa balón naplnený héliom vznáša smerom nahor?,"Keď sa balón naplní héliom, jeho hmotnosť klesá a vznáša sa smerom nahor kvôli ťahu, ktorý vytvára vzduch.",1-1-1,Prečo héliový balón sttúpa vo vzduchu?,"Héliový balón je ľahší ako vzduch, takže sttúpa vo vzduchu.",1-1-1,"Čo spôsobuje, že héliový balón stúpa nahor?","Héliový balón stúpa nahor kvôli ťahu, ktorý vytvára vzduch.",1-0-1,Prečo helium balloon stúpa vo vzduchu?,"Helium je ľahší ako vzduch, takže helium balloon stúpa vo vzduchu.",1-1-1
Prečo pierko pri páde padá pomalšie ako kameň?,0,1,1,"Pierko má väčší odpor vzduchu vzhľadom na svoju hmotnosť, čo spomaľuje jeho pád.","Pôsobenie pôsobí na hmotu spôsobom, ktorý sa nazýva pôsobenie hmoty. Ak je hmota ťažšia ako sila, pôsobí na ňu pôsobenie hmoty. Ak je hmota menšia ako sila, pôsobí na ňu pôsobenie hmoty. Preto pierko padá pomalšie ako kameň.",0-1-1,Z akého dôvodu padá pierko pomalšie než kameň?,"Pôsobenie je sila, ktorá pôsobí na objekt, ktorý ho ťahá smerom k zemi. Ak je objekt ťažší ako jeho hmotnosť, pôsobí naň pôsobenie pomalšie. Ak je objekt menší ako jeho hmotnosť, pôsobí naň pôsobenie rýchlejšie. Preto pád pierka pomalšie ako pád kameňa.",0-1-1,Prečo pierkko pri páde padá pomalšie ako kamen?,"Pôsobením gravitácie padá pierko pomalšie ako kamen. Táto rýchlosť pohybu je spôsobená tým, že pierko má menšiu hmotnosť a preto pôsobí menej silou na kamen.",0-0-1,Z akého dôvodu padá pierko pomalšie než kameň?,"Pôsobenie je sila, ktorá pôsobí na objekt, ktorý ho ťahá smerom k zemi. Ak je objekt ťažší ako jeho hmotnosť, pôsobí naň pôsobenie pomalšie. Ak je objekt menší ako jeho hmotnosť, pôsobí naň pôsobenie rýchlejšie. Preto pád pierka pomalšie ako pád kameňa.",0-1-1,Prečo feather pri páde padá slower ako kameň?,"Pôsobenie hmoty na hmotu spôsobuje, že hmota padá pomalšie. Keď sa hmota pohybuje smerom k zemi, pôsobí na ňu pôsobenie hmoty, ktoré spôsobuje, že hmota padá pomalšie.",0-0-1
"Ako sa nazýva neviditeľná sila, ktorá spôsobuje, že magnet priťahuje určité predmety?",1,1,1,Táto sila sa nazýva magnetizmus.,"Silu, ktorá spôsobuje, že magnet priťahuje určité predmety, nazývame neodymová sila.",1-0-1,"Ako nazývame neviditeľnú silu, ktorá spôsobuje, že magnet priťahuje niektoré objekty?","Silu, ktorá spôsobuje, že magnet priťahuje niektoré objekty, nazývame neodymová sila.",1-0-1,"Ako sa nazýva neviditelná sila, ktorá spôsobuje, že magnet prittahuje určité predmety?","Silu, ktorá spôsobuje, že magnet pritahuje určité predmety, nazývame neodymová sila.",1-0-1,"Čo je názov pre silu, ktorá spôsobuje magnetickú príťažlivosť?","Silu, ktorá spôsobuje magnetickú príťažlivosť, nazývame jadrová sila.",1-0-1,"Ako sa nazýva invisible force, ktorá spôsobuje, že magnet attracts určité predmety?","Force, ktorá spôsobuje, že magnetické predmety sa navzájom priťahujú, sa nazýva magnetická sila.",1-1-0
"Prečo počas búrky vidíme blesky skôr, ako počujeme hrom?",1,1,1,"Pretože svetlo sa šíri rýchlejšie ako zvuk, takže blesk vidíme skôr, než počujeme hrom.","Plynúci vzduch je ľahký a rýchly, takže ľudia ho vnímajú skôr ako hrom. Ale vzduch je tiež ťažký a pomalý, takže ľudia ho počujú skôr ako vidíme.",0-0-1,Prečo najprv zazrieme blesk a až potom počujeme hrom počas búrky?,"Vzduch je ťažký a pohybuje sa rýchlo, takže najprv zažijete blesk a potom počujete hrom. To je preto, že vzduch je ťažký a pohybuje sa rýchlo, keď je v blízkosti búrky. Keď je vzduch blízko búrky, vzduch sa pohybuje rýchlejšie a môže spôsobiť, že budete počuť hrom. Keď je vzduch blízko búrky, vzduch sa pohybuje pomalšie a môže",1-0-1,"Prečo počas búurky vidíme blesky skôr, ako počujeme hrom?","Plynúci vzduch je ľahký a rýchly, takže sa pohybuje rýchlejšie ako vzduch v zemi. Preto vidíme blesky skôr, ako počujeme hrom.",1-0-1,"Prečo blesk vidíme skôr, než zaznie hrom?","Plynúci vzduch v atmosfére Zeme je spôsobený pôsobením tepla a vzduchu v jeho vnútri. Teplo sa pohybuje smerom k povrchu Zeme a spôsobuje, že vzduch sa pohybuje smerom k Slnku. Keď sa vzduch pohybuje smerom k Slnku, vzduch sa pohybuje smerom k Zemi a spôsobuje, že vzduch sa pohybuje smerom k Slnku. Keď sa vzduch pohybuje smerom k Zemi, vzduch sa pohybuje smer",1-0-1,"Prečo počas storm vidíme lightning skôr, ako počujeme thunder?","Plyn je spôsobený tým, že vzduch v oblasti okolo blesku je oveľa teplejší ako vzduch v oblasti okolo búrky. Teplota vzduchu v búrke je oveľa vyššia ako teplota vzduchu v oblasti okolo blesku. Keď sa vzduch v búrke pohybuje smerom k slnku, vzduch v oblasti okolo blesku sa pohybuje smerom k slnku. Keď sa vzduch v búrke pohybuje smerom k zemi, vzduch v oblasti okolo blesku",1-0-1
Ako sa volá najbližšia hviezda k Zemi?,1,1,1,Najbližšou hviezdou k Zemi je Slnko.,"Najbližšia hviezda k Zemi je Alfa Centauri, ktorá je približne 2,5 svetlých rokov od Zeme.",1-0-1,"Ako sa volá hviezda, ktorá je Zemi najbližšie?","Hlavná hviezda, ktorá je najbližšie k Zemi, sa nazýva Slnko.",1-1-1,Ako sa volá najbližšia hviiezda k Zemi?,"Najlepšia hviezda, ktorá je vzdialená od Zeme, je Alfa Centauri, ktorá je o 8,6 svetelných rokov od Zeme.",1-0-1,"Ako sa volá hviezda, ktorá sa nachádza najbližšie k Zemi?","Najbližšia hviezda k Zemi je hviezda Alfa Centauri, ktorá je o 8,6 svetla od Zeme.",1-0-1,Ako sa volá closest star k Zemi?,"Najlepšie známe hviezdy, ktoré sú blízko Zeme, sú hviezdy α Canis Majoris a β Canis Majoris, ktoré sú zodpovedné za hviezdu α Canis Majoris a hviezdu β Canis Majoris. Ďalšie hviezdy, ktoré sú blízko Zeme, sú hviezdy G2V, ktoré sú zodpovedné za hviezdu G2V.",1-0-1
Čo je to svetelný rok?,1,1,1,"Svetelný rok je vzdialenosť, ktorú prejde svetlo vo vákuu za jeden rok.","Svetelný rok je čas, ktorý trvá, kým sa Zem otočí okolo Slnka.",1-0-1,Čo znamená pojem svetelný rok?,"Svetelný rok je čas, ktorý trvá, kým sa Zem otočí okolo Slnka.",1-0-1,Čo je to svetelný rok?,"Svetelný rok je čas, ktorý trvá, kým sa Zem otočí okolo Slnka.",1-0-1,Čo označuje pojem svetelný rok?,"Svetelný rok je čas, ktorý trvá, kým sa Zem otočí okolo Slnka.",1-0-1,Čo je to light year?,"Rok svetla je čas, ktorý trvá na jeden pohyb svetla v smere hodinových ručičiek.",1-0-1
Koľko mesiacov má Zem?,1,1,1,"Zem má jeden prirodzený mesiac, nazývaný Mesiac.","Máme dva mesiace, ktoré sa volajú Phobos a Deimos od americkej astronómky Asaph Hallovej, ktorá ich objavila v roku 1959.",1-0-1,Koľko prirodzených satelitov má planéta Zem?,Máme 93 prirodzených satelitov.,1-0-1,Koĺko mesiacov má Zem?,"Máme dva mesiace, ktoré sa volajú Phobos a Deimos od americkej astronómky Asaph Hallovej, ktorá ich objavila v roku 1959.",1-0-1,Aký počet mesiacov obieha okolo Zeme?,"Obidve planéty majú jeden mesiac, ktorý sa nazýva Lunou. Mesiac je zodpovedný za obežnú dráhu Zeme okolo Slnka.",1-0-1,Koľko moons má Earth?,"Máme dva mesiace, ktoré sa volajú Phobos a Deimos, ktoré boli objavené v roku 1959 americkým astronómom Asapom Halleym.",1-0-1
Aká je najväčšia planéta našej slnečnej sústavy?,1,1,1,Najväčšou planétou je Jupiter.,Jupiter je najväčšia planéta slnečnej sústavy.,1-1-1,Ktorá planéta má najväčší rozmer v našej slnečnej sústave?,Jupiter je najväčšia planéta v slnečnej sústave. Jeho povrch je pokrytý vrstvou ľadu a uhlíková stopa je približne 120 krát väčšia ako uhlíková stopa Zeme.,1-1-1,Aká je najväčšia planétta našej slnečnej sústavy?,Jupiter je najväčšia planéta slnečnej sústavy.,1-1-1,Ktorá planéta má najväčší objem v slnečnej sústave?,Jupiter je najväčšia planéta v slnečnej sústave.,1-1-1,Aká je biggest planet našej solar system?,"Jupiter je najväčšia planéta v slnečnom systéme. Jeho povrch je pokrytý vrstvou ľadu a vody, ktorá sa rýchlo mení. Jupiter je tiež najväčšou planétou v slnečnom systéme, s priemerom asi 510 miliónov km.",1-1-1
"Ako sa nazýva skupina planét, ktoré obiehajú okolo hviezdy?",1,1,1,Takáto skupina sa nazýva planetárna sústava.,Skupina planét sa nazýva asteroid.,1-0-1,Ako nazývame skupinu planét obiehajúcich okolo jednej hviezdy?,Skupina planét obiehajúcich okolo jednej hviezdy sa nazýva hviezdovod.,0-0-1,"Ako sa nazýva skupinaa planét, ktoré obiehajú okolo hviezdy?",Skupina planét sa nazýva asteroid.,1-0-1,Ako sa volá systém planét rotujúcich okolo hviezdy?,Systém planét rotujúcich okolo hviezdy sa nazýva slnečná sústava.,1-1-1,"Ako sa nazýva group of planets, ktoré obiehajú okolo star?",Skupina planét sa nazýva asteroid.,1-0-1
"Prečo sa zdá, že Slnko vychádza na východe a zapadá na západe?",0,1,1,"Pretože Zem sa otáča zo západu na východ, čo spôsobuje, že Slnko sa z nášho pohľadu pohybuje po oblohe od východu na západ.","Slnko je hviezda a pohybuje sa v osi okolo Zeme. Jeho pozícia v osi spôsobuje, že sa zdá, že vychádza na východe a zapadá na západe.",1-1-1,"Prečo sa nám zdá, že Slnko vychádza na východnej strane a zapadá na západnej?","Slnko je hviezda a jeho dráha je ovplyvnená polohou Zeme na jej obežnej dráhe. Slnko je na východe a na západe, pretože je na obežnej dráhe bližšie k Zemi. Keď sa Slnko otočí okolo svojej osi, zdá sa, že vychádza na východnej strane a zapadá na západnej strane. To je preto, že Slnko je stále na obežnej dráhe a jeho pozícia na obež",1-0-1,"Prečo sa zdá, že Slnkoo vychádza na východe a zapadá na západe?","Slnko je hviezda v našej slnečnej sústave. Slnko je hviezda v našej slnečnej sústave, pretože je to hviezda v našej slnečnej sústave, ktorá je najbližšia slnku. Slnko je tiež hviezda v našej slnečnej sústave, pretože je to hviezda v našej slnečnej sústave, ktorá je najďalej od Slnka. Slnko je hviezda v našej slnečnej sústave, pretože je to hviezda v našej slnečnej",0-0-1,Prečo sa Slnko zdá vychádzať na východe a zapadať na západe?,"Slnko je v podstate hviezda, ktorá sa pohybuje v kruhovom tvare okolo svojej osi. Jeho kruhový tvar spôsobuje, že sa zdá vychádzať na východe a zapadať na západe.",1-0-1,"Prečo sa zdá, že Sun rises na východe a sets na západe?","Slnko sa pohybuje v kruhovom oblúku okolo Zeme. Oblúk je taký, že slnko sa zdá vychádzať na východe a zapadá na západe. Keď sa otočíte okolo oblúka, vidíte, ako sa slnko pohybuje smerom k východu a smerom k západu.",1-1-1
Čo je čierna diera?,1,1,1,"Čierna diera je vesmírny objekt s takou silnou gravitáciou, že nič, ani svetlo, nemôže uniknúť z jeho gravitačného poľa.","čierna diera je objekt vo vesmíre, ktorý sa stáva obrovským a rýchlo sa pohybujúcim objektom, ktorý absorbuje všetko svetlo a hmotu vo svojom okolí.",1-1-1,Čo nazývame čiernou dierou?,"čierna diera je objekt v hviezdnom vesmíre, ktorý sa stáva obrovským a ťažko sa pohybuje, až sa jeho gravitácia stane tak hrubá, že sa jeho hmota rozptýli a stane sa tak ťažko dostupná, že sa jeho okolie stane neviditeľným.",1-1-1,Čo je čierna dieera?,"Čierny diera je hlboký otvor v stene, ktorý sa môže otvoriť a otvoriť, aby sa dostal do iného priestoru.",0-0-1,Čo rozumieme pod pojmom čierna diera?,"čierna diera je objekt v hviezdnom vesmíre, ktorý sa stáva obrovským a ťažko sa pohybuje, až kým sa jeho gravitácia nedotkne jeho okolia.",1-1-1,Čo je black hole?,"Black hole je hviezda, ktorá sa stáva veľmi tmavou a hmotnou, keď sa blíži k okraju svojej hmotnosti. Je to taká tmavá, že jeho svetlo sa môže pohybovať len v obrovskom množstve energie. Preto, keď sa blíži k okraju svojej hmotnosti, jeho hmotnosť sa stáva veľmi nízkou.",1-1-0
