title,context,question,answer,fluent(something you could say in the languege),correct answer,correct gramatically(correct way to answer the question),,,references,original question,predictions,FL-FC-LF,Synonym Substitution,predictions,FL-FC-LF,Typo,predictions,FL-FC-LF,Rewording,predictions,FL-FC-LF,Code-Switching,predictions,FL-FC-LF
Pomilio PD/PE,"Na początku 1918 roku planowano, że Pomilio PD/PE miały być wyposażeniem tylko armijnych eskadr rozpoznawczych dalekiego zasięgu, a podstawowym włoskim samolotem rozpoznania taktycznego miał być Ansaldo SIA 7, lecz problemy wywołane przez słabą konstrukcję SIA 7B spowodowały zwiększenie zamówień na Pomilio, który w połowie 1918 roku stał się podstawowym włoskim samolotem rozpoznawczym. Pomilio zastępowały w tym czasie w części jednostek także samoloty SAML i SP.3. Przez cały okres służby, samoloty te używane były przez 29 eskadr. W chwili zawieszenia broni 17 eskadr było wyposażonych w całości w Pomilio PD/PE, a 5 częściowo. Głównie używane były na froncie włoskim, lecz 116. Eskadra operowała na Pomilio od maja 1918 roku w Albanii, a 111. Eskadra od września 1918 roku w Macedonii. Oprócz rozpoznania i okazjonalnego bombardowania, samoloty eskadr 118., 131. i 39. używane były do zrzucania zaopatrzenia dla żołnierzy włoskich, w tym odciętych za Piawą.","Do czego wykorzystywano samoloty z eskadr 118., 131. i 39.?","{'text': ['zrzucania zaopatrzenia dla żołnierzy włoskich'], 'answer_start': [891]}",1,1,1,,,wymianą listów Ripka – Stroński,Co było powodem powrócenia konceptu porozumieniu monachijskiego?,"Powrót porozumienia monachijskiego był spowodowany koniecznością uzyskania większej kontroli nad Monachium przez króla i jego rząd. Porozumienie monachijskie zostało zawarte w 1215 roku, kiedy król Karol V został zmuszony do rezygnacji z władzy i został zastąpiony przez jego syna, Wilhelma II. Porozumienie monachijskie zostało zawarte w 1215 roku, kiedy król Karol V został zmuszony do rezygnacji z wła",1-0-1,Co spowodowało ponowne pojawienie się idei porozumienia monachijskiego?,"Powstanie idei porozumienia monachijskiego spowodowało ponowne pojawienie się idei porozumienia monachijskiego w okresie międzywojennym. Porozumienie monachijskie miało na celu ustanowienie rządu niemieckiego w Niemczech, który był odpowiedzialny za politykę zagraniczną i bezpieczeństwo kraju. Porozumienie monachijskie zostało ustanowione w 1871 roku i miało na celu ustanowienie rządu niemieckiego w Niemczech, który",0-0-1,Co było powodem powrócenia konceptu porozumienniu monachijskiego?,"Powrót porozumienia monachijskiego był spowodowany koniecznością uzyskania większej autonomii dla królestwa i jego rządu. Porozumienie monachijskie zostało zawarte w 1215 roku, kiedy król Ludwik XIV został zmuszony do rezygnacji z władzy i został zastąpiony przez króla Ludwika Filipa I. Porozumienie monachijskie zostało ustanowione w celu uzyskania większej autonomii dla królestwa i",1-0-1,Dlaczego idea porozumienia monachijskiego została ponownie rozważona?,"Po śmierci Adolfa Hitlera w 1945 roku, jego rząd i jego sojusznicy byli zmuszeni do rezygnacji z porozumienia monachijskiego. Porozumienie to było kluczowym punktem w polityce niemieckiej i miało znaczący wpływ na politykę zagraniczną Niemiec. Porozumienie monachijskie zostało zawarte w formie traktatu pokojowego, który był ważnym krokiem w kierunku ustanowienia nowego porządku światowego. Traktat ten",1-0-1,Co było powodem comebacku porozumienia monachijskiego?,Powodem była rosnąca świadomość o zagrożeniach dla bezpieczeństwa i stabilności w Europie Środkowej. W związku z tym rząd niemiecki podjął decyzję o zjednoczeniu się z rządem francuskim i ustanowieniu nowego rządu w Monachium.,1-0-1
Edmund Kowal,"Kowal trafił do wojska jesienią 1952 roku, natomiast grę dla Wawelu rozpoczął od sezonu 1953. Zadebiutował w wygranym spotkaniu ligowym przeciwko AKS-owi Chorzów (2:4, 15 marca 1953 roku), zaś pierwszą bramkę strzelił w tymże meczu. W pojedynku z Lechią Gdańsk (5:1, 26 lipca 1953 roku) zdobył hat tricka. Kowal wystąpił w dwudziestu jeden meczach ligowych i strzelił siedem bramek. Zespół prowadzony przez Artura Waltera zdobył wicemistrzostwo Polski, natomiast z rywalizacji o Puchar Polski został wycofany. W sierpniu 1953 roku Kowal jako czynny żołnierz i zawodnik Wawelu reprezentował Okręg Wojskowy Kraków na III Spartakiadzie Wojska Polskiego we Wrocławiu. Wawel zapewnił sobie zwycięstwo w turnieju po wygranych spotkaniach ze Śląskiem Wrocław, Flotą Gdynia, Lotnikiem Warszawa i Zawiszą Bydgoszcz oraz remisie z Lublinianką. Po zakończeniu sezonu decyzją Ministra Obrony Narodowej Wawel został odsunięty z rozgrywek I ligi. Uznano, że prawo do reprezentowania wojskowych klubów w lidze ma wyłącznie Legia Warszawa. W wyniku tychże działań najlepszych piłkarzy krakowskiego zespołu przeniesiono w ramach poborów do stolicy, wśród nich Kowala.",Kiedy Kowal rozpoczął służbę wojskową?,"{'text': ['jesienią 1952'], 'answer_start': [23]}",1,1,1,,,E. Beneša i J. Masaryka z jednej a Wł. Sikorskiego i E. Raczyńskiego,Pomiędzy jakimi stronami odbyło się zgromadzenie w sierpniu 1942 roku?,Zgromadzenie odbyło się pomiędzy rządem Japonii a rządem Stanów Zjednoczonych.,1-0-1,Jakie strony uczestniczyły w zgromadzeniu w sierpniu 1942 roku?,Niemcy i Japonia uczestniczyły w zgromadzeniu w sierpniu 1942 roku.,1-0-1,Pomiędzy jakimi stronamii odbyło się zgromadzenie w sierpniu 1942 roku?,Zgromadzenie w sierpniu 1942 roku odbyło się pomiędzy rządem ZSRR a rządem Japonii.,1-0-1,Kto brał udział w spotkaniu z sierpnia 1942 roku?,Niemcy i Japonia spotkały się w sierpniu 1942 roku w celu ustalenia granicy między tymi dwoma krajami. Spotkanie było kluczowym wydarzeniem w wojnie koreańskiej i miało znaczący wpływ na dalsze losy obu krajów.,1-0-1,Pomiędzy jakimi sides odbyło się zgromadzenie w sierpniu 1942 roku?,Zgromadzenie odbyło się pomiędzy rządem brytyjskim a rządem japońskim.,1-0-1
Edmund Kowal,"Kowal trafił do wojska jesienią 1952 roku, natomiast grę dla Wawelu rozpoczął od sezonu 1953. Zadebiutował w wygranym spotkaniu ligowym przeciwko AKS-owi Chorzów (2:4, 15 marca 1953 roku), zaś pierwszą bramkę strzelił w tymże meczu. W pojedynku z Lechią Gdańsk (5:1, 26 lipca 1953 roku) zdobył hat tricka. Kowal wystąpił w dwudziestu jeden meczach ligowych i strzelił siedem bramek. Zespół prowadzony przez Artura Waltera zdobył wicemistrzostwo Polski, natomiast z rywalizacji o Puchar Polski został wycofany. W sierpniu 1953 roku Kowal jako czynny żołnierz i zawodnik Wawelu reprezentował Okręg Wojskowy Kraków na III Spartakiadzie Wojska Polskiego we Wrocławiu. Wawel zapewnił sobie zwycięstwo w turnieju po wygranych spotkaniach ze Śląskiem Wrocław, Flotą Gdynia, Lotnikiem Warszawa i Zawiszą Bydgoszcz oraz remisie z Lublinianką. Po zakończeniu sezonu decyzją Ministra Obrony Narodowej Wawel został odsunięty z rozgrywek I ligi. Uznano, że prawo do reprezentowania wojskowych klubów w lidze ma wyłącznie Legia Warszawa. W wyniku tychże działań najlepszych piłkarzy krakowskiego zespołu przeniesiono w ramach poborów do stolicy, wśród nich Kowala.",Kto wyłączył klub Wawel z rozgrywek pierwszoligowych?,"{'text': ['Ministra Obrony Narodowej'], 'answer_start': [864]}",1,1,1,,,podpisanie układu konfederacyjnego,O co ubiegali się polscy przedstawiciele podczas spotkania z sierpnia 1942 roku?,O przyznanie Polsce niepodległości.,1-0-1,Jakie postulaty zgłosili polscy delegaci na spotkaniu w sierpniu 1942 roku?,Oto kluczowe postulaty polskich delegacji na spotkaniu w sierpniu 1942 roku: - utworzenie rządu konstytucyjnego - ustanowienie rządu powszechnego - ustanowienie rządu obywatelskiego - ustanowienie rządu obywatelskiego obywateli polskich - ustanowienie rządu obywatelskiego obywateli niemieckich - ustanowienie rządu obywatelskiego obywateli francuskich - ustanowienie rządu o,1-0-1,O co ubiegalii się polscy przedstawiciele podczas spotkania z sierpnia 1942 roku?,O przyznanie Polsce niepodległości.,1-0-1,Jakie kwestie poruszyli polscy przedstawiciele w sierpniu 1942 roku?,W sierpniu 1942 roku polscy przedstawiciele poruszali kwestie związane z bezpieczeństwem kraju i jego obywatelami.,1-1-1,O co ubiegali się Polish przedstawiciele podczas spotkania z sierpnia 1942 roku?,O przyznanie Polsce niepodległości.,1-0-1
Edmund Kowal,"Kowal trafił do wojska jesienią 1952 roku, natomiast grę dla Wawelu rozpoczął od sezonu 1953. Zadebiutował w wygranym spotkaniu ligowym przeciwko AKS-owi Chorzów (2:4, 15 marca 1953 roku), zaś pierwszą bramkę strzelił w tymże meczu. W pojedynku z Lechią Gdańsk (5:1, 26 lipca 1953 roku) zdobył hat tricka. Kowal wystąpił w dwudziestu jeden meczach ligowych i strzelił siedem bramek. Zespół prowadzony przez Artura Waltera zdobył wicemistrzostwo Polski, natomiast z rywalizacji o Puchar Polski został wycofany. W sierpniu 1953 roku Kowal jako czynny żołnierz i zawodnik Wawelu reprezentował Okręg Wojskowy Kraków na III Spartakiadzie Wojska Polskiego we Wrocławiu. Wawel zapewnił sobie zwycięstwo w turnieju po wygranych spotkaniach ze Śląskiem Wrocław, Flotą Gdynia, Lotnikiem Warszawa i Zawiszą Bydgoszcz oraz remisie z Lublinianką. Po zakończeniu sezonu decyzją Ministra Obrony Narodowej Wawel został odsunięty z rozgrywek I ligi. Uznano, że prawo do reprezentowania wojskowych klubów w lidze ma wyłącznie Legia Warszawa. W wyniku tychże działań najlepszych piłkarzy krakowskiego zespołu przeniesiono w ramach poborów do stolicy, wśród nich Kowala.",Dlaczego Wawel nie mógł dłużej występować w rozgrywkach pierwszoligowych?,"{'text': ['Uznano, że prawo do reprezentowania wojskowych klubów w lidze ma wyłącznie Legia Warszawa'], 'answer_start': [933]}",1,1,1,,,E. Beneš,Który z dyplomatów sprzeciwił się konceptowi konfederacji w listopadzie '42?,James Madison,1-0-1,Jaki dyplomata nie poparł idei konfederacji w listopadzie 1942 roku?,Harry S. Truman,1-0-1,Który z dyplomatóww sprzeciwił się konceptowi konfederacji w listopadzie '42?,James Madison,1-0-1,Kto z dyplomatów nie zgodził się na konfederację w listopadzie 1942 roku?,Harry S. Truman,1-0-1,Który z diplomats sprzeciwił się konceptowi konfederacji w listopadzie '42?,James Madison,1-0-1
Edmund Kowal,"W sezonie 1959 nowym szkoleniowcem Górnika został węgierski trener János Steiner, z którym Kowal współpracował w Legii. Kowal wystąpił we wszystkich dwudziestu dwóch meczach ligowych i zdobył sześć bramek, spędzając na boisku 1935 minut. Jedynym spotkaniem, którego nie dograł w pełnym wymiarze czasowym był mecz przeciwko Ruchowi Chorzów (2:2, 25 października 1959 roku), kiedy to został zmieniony przez Manfreda Fojcika. Kowal był odpowiedzialny za wykonywanie rzutów karnych, które wykorzystał w spotkaniach z Legią (1:2, 10 maja 1959 roku) oraz Lechią Gdańsk (3:2, 1 listopada 1959 roku). Bramkarza Lechii pokonał nie biorąc rozbiegu w kierunku piłki. Przed strzałem wykonał zwód, po którym Henryk Gronowski rzucił się w jeden róg bramki, a piłka potoczyła się w drugi. Górnik zapewnił sobie tytuł mistrzowski na trzy kolejki przez zakończeniem rozgrywek, natomiast Kowal był uważany za piłkarza w szczytowej formie oraz inteligentnego konstruktora akcji.",Z jakiego kraju pochodzi János Steiner?,"{'text': ['węgierski'], 'answer_start': [50]}",1,1,1,,,Pomilio PD,Jaki model zastąpił Pomilio PC?,Odpowiedź to: MacBook Pro.,1-0-1,Który samolot przejął funkcję Pomilio PC?,Samolot Boeing C-17 Globemaster III,1-0-1,Jaki model zastapił Pomilio PC?,Odpowiedź to: MacBook Pro.,1-0-1,Co weszło na miejsce Pomilio PC?,Komputery stacjonarne HP Compaq,1-0-1,Jaki model replaced Pomilio PC?,MacBook Pro,1-0-1
Edmund Kowal,"W sezonie 1959 nowym szkoleniowcem Górnika został węgierski trener János Steiner, z którym Kowal współpracował w Legii. Kowal wystąpił we wszystkich dwudziestu dwóch meczach ligowych i zdobył sześć bramek, spędzając na boisku 1935 minut. Jedynym spotkaniem, którego nie dograł w pełnym wymiarze czasowym był mecz przeciwko Ruchowi Chorzów (2:2, 25 października 1959 roku), kiedy to został zmieniony przez Manfreda Fojcika. Kowal był odpowiedzialny za wykonywanie rzutów karnych, które wykorzystał w spotkaniach z Legią (1:2, 10 maja 1959 roku) oraz Lechią Gdańsk (3:2, 1 listopada 1959 roku). Bramkarza Lechii pokonał nie biorąc rozbiegu w kierunku piłki. Przed strzałem wykonał zwód, po którym Henryk Gronowski rzucił się w jeden róg bramki, a piłka potoczyła się w drugi. Górnik zapewnił sobie tytuł mistrzowski na trzy kolejki przez zakończeniem rozgrywek, natomiast Kowal był uważany za piłkarza w szczytowej formie oraz inteligentnego konstruktora akcji.",Czy Edmund Kowal rozegrał wszystkie mecze przez całe spotkanie w sezonie 1959?,"{'text': ['Jedynym spotkaniem, którego nie dograł w pełnym wymiarze czasowym'], 'answer_start': [238]}",1,1,1,,,dwóch sekcji początkowo przydzielonych do lotnictwa Marynarki,Co wchodziło w skład eskadry 139?,"Eskadra 139 była częścią eskadry amerykańskiej marynarki wojennej, która służyła w czasie II wojny światowej. Eskadra była odpowiedzialna za szkolenie i szkolenie marynarzy wojennych w czasie wojny. Eskadra była również odpowiedzialna za szkolenie i szkolenie marynarzy wojennych w czasie wojny. Eskadra była częścią eskadry amerykańskiej marynarki wojennej, która służyła w czas",0-0-1,Jakie elementy tworzyły eskadrę 139?,"Eskadra 139 składała się z trzech samolotów: Lockheed C-5 Galaxy, Lockheed C-5A Starfighter, Lockheed C-5B Starfighter i Lockheed C-5C Starfighter.",1-0-1,Co wchodziło w składd eskadry 139?,"Eskadra 139 była częścią eskadry amerykańskiej marynarki wojennej, która służyła w czasie II wojny światowej. Eskadra była odpowiedzialna za szkolenie i szkolenie marynarzy wojennych, a także za szkolenie i szkolenie marynarzy wojennych. Eskadra była również odpowiedzialna za szkolenie i szkolenie marynarzy wojennych, a także za szkolenie i szkolenie marynarzy wojennych",0-0-1,Jakie jednostki należały do eskadry 139?,Eskadra 139 była odpowiedzialna za szkolenie i szkolenie marynarki wojennej Stanów Zjednoczonych. Była odpowiedzialna za szkolenie i szkolenie marynarki wojennej Stanów Zjednoczonych w latach 1941-1945. Eskadra 139 była odpowiedzialna za szkolenie i szkolenie marynarki wojennej Stanów Zjednoczonych w latach 1941-1945. Była odpowiedzialna za szkolenie i szkolenie marynarki wojennej Stanów Zjednoczonych w latach 1941-1945,0-0-1,Co wchodziło w skład 139 squadron?,139 Squadron był odpowiedzialny za szkolenie i szkolenie sił powietrznych Stanów Zjednoczonych w latach 1942-1943.,0-0-0
Edmund Kowal,"W sezonie 1959 nowym szkoleniowcem Górnika został węgierski trener János Steiner, z którym Kowal współpracował w Legii. Kowal wystąpił we wszystkich dwudziestu dwóch meczach ligowych i zdobył sześć bramek, spędzając na boisku 1935 minut. Jedynym spotkaniem, którego nie dograł w pełnym wymiarze czasowym był mecz przeciwko Ruchowi Chorzów (2:2, 25 października 1959 roku), kiedy to został zmieniony przez Manfreda Fojcika. Kowal był odpowiedzialny za wykonywanie rzutów karnych, które wykorzystał w spotkaniach z Legią (1:2, 10 maja 1959 roku) oraz Lechią Gdańsk (3:2, 1 listopada 1959 roku). Bramkarza Lechii pokonał nie biorąc rozbiegu w kierunku piłki. Przed strzałem wykonał zwód, po którym Henryk Gronowski rzucił się w jeden róg bramki, a piłka potoczyła się w drugi. Górnik zapewnił sobie tytuł mistrzowski na trzy kolejki przez zakończeniem rozgrywek, natomiast Kowal był uważany za piłkarza w szczytowej formie oraz inteligentnego konstruktora akcji.",Jakim wynikiem zakończył się mecz Górnika z Ruchem z końca października 1959 roku?,"{'text': ['2:2'], 'answer_start': [340]}",1,1,1,,,PE,Jaki model zastąpił samoloty Pomilio PD?,Samolot Pomilio PD został zastąpiony przez model PZL P-28A Tarcza.,1-0-1,Który samolot zastąpił modele Pomilio PD?,Pomilio PD był włoskim samolotem prywatnym produkowanym przez włoską firmę Leonardo. Samolot został zastąpiony przez modele AgustaWestland AW101.,1-0-1,Jaki model zastąpił samoloty Pomilio PDD?,Samolot PZL P-38 Lightning,1-0-1,Co weszło w użycie zamiast Pomilio PD?,Pomilio PD był językiem programowania używanym do tworzenia oprogramowania do analizy danych. Został zastąpiony przez Apache Spark w wersji 3.,1-0-1,Jaki model zastąpił Pomilio PD planes?,Pomilio PD planes został zastąpiony przez model P172.,0-0-0
Edmund Kowal,"W sezonie 1959 nowym szkoleniowcem Górnika został węgierski trener János Steiner, z którym Kowal współpracował w Legii. Kowal wystąpił we wszystkich dwudziestu dwóch meczach ligowych i zdobył sześć bramek, spędzając na boisku 1935 minut. Jedynym spotkaniem, którego nie dograł w pełnym wymiarze czasowym był mecz przeciwko Ruchowi Chorzów (2:2, 25 października 1959 roku), kiedy to został zmieniony przez Manfreda Fojcika. Kowal był odpowiedzialny za wykonywanie rzutów karnych, które wykorzystał w spotkaniach z Legią (1:2, 10 maja 1959 roku) oraz Lechią Gdańsk (3:2, 1 listopada 1959 roku). Bramkarza Lechii pokonał nie biorąc rozbiegu w kierunku piłki. Przed strzałem wykonał zwód, po którym Henryk Gronowski rzucił się w jeden róg bramki, a piłka potoczyła się w drugi. Górnik zapewnił sobie tytuł mistrzowski na trzy kolejki przez zakończeniem rozgrywek, natomiast Kowal był uważany za piłkarza w szczytowej formie oraz inteligentnego konstruktora akcji.","W jaki sposób Edmund Kowal wykonał ""jedenastkę"" w meczu z Lechią?","{'text': ['nie biorąc rozbiegu w kierunku piłki'], 'answer_start': [618]}",1,1,1,,,wyposażeniem tylko armijnych eskadr rozpoznawczych dalekiego zasięgu,Czym według założeń z 1918 roku miały zajmować się Pomilio PD/PE?,"Pomilio PD/PE miały być spółką akcyjną, która miała zarządzać i kontrolować spółkę zależną, Pomilio SA, która miała być spółką zależną i zarządzać spółką zależną. Pomilio SA miała być spółką zależną i zarządzać spółką zależną, Pomilio SA miała być spółką zależną i zarządzać spółką zależną, Pomilio SA miała być spół",0-0-1,Jakie funkcje miały pełnić Pomilio PD/PE zgodnie z planami z 1918 roku?,"Pomilio PD/PE miały być stosowane jako stacje ładowania i przeładunku dla ciężkich ładunków, a także jako stacje ładowania i przeładunku dla ciężkich ładunków. Pomilio miało być uważane za bezpieczne i wydajne źródło energii dla ciężkich ładunków. Pomilio miało być również uważane za bezpieczne i wydajne źródło energii dla ciężkich ładunków. Pom",0-0-1,Czym wedlug założeń z 1918 roku miały zajmować się Pomilio PD/PE?,"Pomilio PD/PE miały zajmować się produkcją i dystrybucją makaronów, a także miały być wykorzystywane do produkcji makaronów i innych wyrobów cukierniczych.",0-0-1,Do jakich celów miały być wykorzystywane Pomilio PD/PE w 1918 roku?,Pomilio PD/PE miały być wykorzystywane do produkcji broni palnej.,1-0-1,Czym według założeń z 1918 roku miały zajmować się Pomilio PD/PE units?,"Pomilio PD/PE miały być jednostkami szkoleniowymi dla żołnierzy rezerwy, którzy byli szkoleni w celu udzielania pierwszej pomocy w razie potrzeby.",1-0-1
Sejm Rzeczypospolitej Polskiej,"Zgodnie z Regulaminem Sejmu i zarządzeniem Szefa Kancelarii Sejmu z marca 2006 informacja publiczna dotycząca Sejmu i jego organów oraz Kancelarii Sejmu (m.in. druki sejmowe, biuletyny z posiedzeń komisji sejmowych, opinie Biura Analiz Sejmowych, wyniki głosowań) jest na bieżąco udostępniana w Systemie Informacyjnym Sejmu na stronie internetowej www.sejm.gov.pl. Ogłaszanie przez Kancelarię Sejmu informacji w Systemie Informacyjnym Sejmu jest podstawową formą udzielania przez izbę informacji publicznej.",Co znajduje się w systemie informacyjnym?,"{'text': ['informacja publiczna dotycząca Sejmu i jego organów oraz Kancelarii Sejmu'], 'answer_start': [79]}",1,1,1,,,Ansaldo SIA 7,Jaki samolot miał służyć za podstawę rozpoznania taktycznego w 1918 roku?,Bristol Beaufighter,1-0-1,Który samolot był przewidziany do zadań rozpoznania taktycznego w 1918 roku?,Bristol Beaufighter,1-0-1,Jaki samolot miał służyć za podstawę rozpoznania taktycznego w 19188 roku?,Lockheed C-5 Galaxy,1-0-1,Co miało stanowić główny samolot do rozpoznania taktycznego w 1918 roku?,Bristol Beaufighter,1-0-1,Jaki samolot miał służyć za base rozpoznania taktycznego w 1918 roku?,Bristol Beaufighter,1-0-1
Sejm Rzeczypospolitej Polskiej,"Zgodnie z Regulaminem Sejmu i zarządzeniem Szefa Kancelarii Sejmu z marca 2006 informacja publiczna dotycząca Sejmu i jego organów oraz Kancelarii Sejmu (m.in. druki sejmowe, biuletyny z posiedzeń komisji sejmowych, opinie Biura Analiz Sejmowych, wyniki głosowań) jest na bieżąco udostępniana w Systemie Informacyjnym Sejmu na stronie internetowej www.sejm.gov.pl. Ogłaszanie przez Kancelarię Sejmu informacji w Systemie Informacyjnym Sejmu jest podstawową formą udzielania przez izbę informacji publicznej.",Gdzie publikowane są informacje w sprawie Sejmu i Kancelarii?,"{'text': ['w Systemie Informacyjnym Sejmu'], 'answer_start': [293]}",1,1,1,,,słabą konstrukcję,Dlaczego zrezygnowano z Ansaldo SIA 7 jako podstawowego samolotu rozpoznawczego?,Włoskie Ministerstwo Obrony zrezygnowało z Ansaldo SIA 7 jako podstawowego samolotu rozpoznawczego w związku z jego zbyt wysokimi kosztami utrzymania i zbyt niską wydajnością.,1-0-1,Z jakiego powodu wycofano Ansaldo SIA 7 z roli głównego samolotu rozpoznawczego?,W latach 70. XX wieku Włochy miały problemy z utrzymaniem i eksploatacją tych samolotów. W rezultacie rząd Włochy postanowił wycofać Ansaldo SIA 7 z roli głównego samolotu rozpoznawczego.,1-0-1,Dlaczego zrezygnowano z Ansaldo SIA 7 jako podstawowego samolotu rozpoznawczegoo?,Włoskie Ministerstwo Obrony zrezygnowało z Ansaldo SIA 7 jako podstawowego samolotu rozpoznawczego w związku z jego zbyt wysokimi kosztami utrzymania i zbyt niską wydajnością.,1-0-1,Czemu Ansaldo SIA 7 przestał być używany jako samolot rozpoznawczy?,"W latach 70. XX wieku Włochy miały problemy z utrzymaniem wystarczającej liczby samolotów rozpoznawczych, a rząd Włochy był zmuszony do rezygnacji z produkcji nowych samolotów. W rezultacie Ansaldo SIA 7 przestał być używany jako samolot rozpoznawczy.",1-0-1,Dlaczego zrezygnowano z Ansaldo SIA 7 jako main samolotu rozpoznawczego?,"W styczniu 2006 roku rząd Włochy zrezygnował z produkcji samolotu rozpoznawczego Ansaldo SIA 7, ponieważ była to zbyt skomplikowana konstrukcja i nie spełniała wymogów bezpieczeństwa. W związku z tym rząd Włochy zaprzestał produkcji samolotu rozpoznawczego Ansaldo SIA 7, a zamiast tego zainwestował w rozwój nowych i bardziej wydajnych samolotów rozpoznawczych.",1-0-1
Sejm Rzeczypospolitej Polskiej,"Historycznie udokumentowany sejm wyznaczył Władysław I Łokietek na 26 maja 1331 w Chęcinach. Ten ogólnopolski sejm rokował do 14 czerwca tycząc wojny znanej z bitwy pod Płowcami. Wydarzenie to odnotowane jest przez wielu historyków, począwszy od Jana Długosza. W roku 1493 król Jan I Olbracht zwołał sejm walny, czyli zjazd ogólnokrajowy, na którym wyłoniła się izba poselska – osobna izba sejmowa, będąca reprezentacją szlachty wybraną na sejmikach ziemskich. W okresie I Rzeczypospolitej Sejm był przedstawicielem wyłącznie stanu szlacheckiego. Ta formuła była jednym z najważniejszych przywilejów szlacheckich.",Gdzie odbył się sejm zorganizowany przez ówczesnego władcę Polski w maju 1331 roku?,"{'text': ['w Chęcinach'], 'answer_start': [80]}",1,1,1,,,zrzucania zaopatrzenia dla żołnierzy włoskich,"Do czego wykorzystywano samoloty z eskadr 118., 131. i 39.?",Samoloty te były wykorzystywane do przewozu żołnierzy i ładunków.,1-0-1,"Jakie było zastosowanie samolotów z eskadr 118., 131. i 39.?",Samoloty te były wykorzystywane do przewozu żołnierzy i ładunków wojskowych.,1-0-1,"Do czego wykorzystywano samoloty z eskadr 118., 131. i 39?",Samoloty te były wykorzystywane do przewozu żołnierzy i ładunków.,1-0-1,"W jakich celach używano samolotów z eskadr 118., 131. oraz 39.?",Samoloty te były używane do przewozu żołnierzy i ładunków.,1-0-1,"Do czego wykorzystywano planes z eskadr 118., 131. i 39.?",Działania przeciwlotnicze,0-0-1
Sejm Rzeczypospolitej Polskiej,"Historycznie udokumentowany sejm wyznaczył Władysław I Łokietek na 26 maja 1331 w Chęcinach. Ten ogólnopolski sejm rokował do 14 czerwca tycząc wojny znanej z bitwy pod Płowcami. Wydarzenie to odnotowane jest przez wielu historyków, począwszy od Jana Długosza. W roku 1493 król Jan I Olbracht zwołał sejm walny, czyli zjazd ogólnokrajowy, na którym wyłoniła się izba poselska – osobna izba sejmowa, będąca reprezentacją szlachty wybraną na sejmikach ziemskich. W okresie I Rzeczypospolitej Sejm był przedstawicielem wyłącznie stanu szlacheckiego. Ta formuła była jednym z najważniejszych przywilejów szlacheckich.",Jaki temat poruszany był na sejmie wyznaczonym przez Władysława I Łokietka 26 maja 1331 roku?,"{'text': ['wojny znanej z bitwy pod Płowcami'], 'answer_start': [144]}",1,1,1,,,jesienią 1952,Kiedy Edmund Kowal rozpoczął służbę wojskową?,Edmund Kowal rozpoczął służbę wojskową w 1914 roku.,1-0-1,W którym roku Edmund Kowal rozpoczął karierę wojskową?,Edmund Kowal rozpoczął karierę wojskową w 1914 roku.,1-0-1,Kiedy Edmund Kowall rozpoczął służbę wojskową?,Edmund Kowall rozpoczął służbę wojskową w 1862 roku.,1-0-1,Od kiedy Edmund Kowal był w wojsku?,"Edmund Kowal był w wojsku od ponad 20 lat. Był żołnierzem w szeregach armii brytyjskiej, brytyjskiej armii i armii australijskiej. Był również żołnierzem w szeregach armii amerykańskiej, amerykańskiej armii i armii australijskiej. Edmund Kowal był żołnierzem w szeregach armii brytyjskiej od ponad 20 lat. Był żołnierzem w szeregach armii brytyjskiej od ponad 20 lat. Był również żo",0-0-1,Kiedy Edmund Kowal rozpoczął military służbę?,Edmund Kowal rozpoczął służbę w wojsku w 1914 roku.,1-0-1
Sejm Rzeczypospolitej Polskiej,"Historycznie udokumentowany sejm wyznaczył Władysław I Łokietek na 26 maja 1331 w Chęcinach. Ten ogólnopolski sejm rokował do 14 czerwca tycząc wojny znanej z bitwy pod Płowcami. Wydarzenie to odnotowane jest przez wielu historyków, począwszy od Jana Długosza. W roku 1493 król Jan I Olbracht zwołał sejm walny, czyli zjazd ogólnokrajowy, na którym wyłoniła się izba poselska – osobna izba sejmowa, będąca reprezentacją szlachty wybraną na sejmikach ziemskich. W okresie I Rzeczypospolitej Sejm był przedstawicielem wyłącznie stanu szlacheckiego. Ta formuła była jednym z najważniejszych przywilejów szlacheckich.",Czym była izba poselska powołana do życia pod koniec piętnastego wieku?,"{'text': ['osobna izba sejmowa, będąca reprezentacją szlachty wybraną na sejmikach ziemskich'], 'answer_start': [378]}",1,1,1,,,Ministra Obrony Narodowej,Kto wyłączył klub Wawel z rozgrywek pierwszoligowych?,W dniu 29 czerwca 2020 roku Rada Nadzorcza PGE Ekstraligi postanowiła o wyłączeniu klubu Wawel z rozgrywek pierwszoligowych.,1-0-1,Która instytucja usunęła klub Wawel z pierwszej ligi?,Puchar Polski,1-0-1,Kto wyłączył klub Wawel z rozgrywek pierwszoligowwych?,W sezonie 2013/14 klub Wawel Kraków został wyłączony z rozgrywek pierwszoligowwych.,1-0-1,Kto podjął decyzję o wykluczeniu Wawelu z ligi?,"Wiceprezes Zarządu PGE Ekstraligi, Tomasz Jodłowiec, podjął decyzję o wykluczeniu Wawelu z ligi.",1-0-1,Kto removed klub Wawel z rozgrywek pierwszoligowych?,W dniu 29 czerwca 2013 roku Rada Nadzorcza PGE Ekstraligi postanowiła o wycofaniu klubu Wawel z rozgrywek pierwszoligowych.,1-0-1
